,Influencers
0,Adam_Stirling 
1,AdamPOlsen 
2,AdrianDix 
3,AlanRycroft 
4,BarbDesjardins 
5,BarclayWallace 
6,BerniePauly 
7,BruceAlready 
8,Buckleygkml 
9,CarolinaIbarra 
10,CharlesBodi 
11,chartj88 
12,ChiefManak 
13,ColinPlant2018 
14,CoreyRanger 
15,coryresilient 
16,CouncllrNTaylor  
17,CTess1 
18,Darylbassett3 
19,dave_eby 
20,DavidHScreech 
21,ElizabethMay 
22,eric_doherty 
23,Fairfield_Comm 
24,GraceALore 
25,HattieCosta1 
26,Hilarylmarks 
27,JeremyLoveday 
28,jfatkey 
29,KatStinson 
30,kevinalbersBC 
31,KristaLoughton  
32,Laurel_BC 
33,Louise_Hartland 
34,MajaTait 
35,MarikaAlbert 
36,MurdochOakBay 
37,murray_langdon 
38,NicoleChaland 
39,ninethreeseven 
40,PACochran 
41,photowarrior 
42,r_garrison 
43,sarahpottsvic 
44,self_govern4us  
45,shelliegudgeon 
46,SongheesChief  
47,spayneBC 
48,Stephen_Andrew  
49,victoriasandy 
50,zacdevries  
