,sectors
0,Affordable Housing
1,Community Plan to End Homelessness 
2,Complex care 
3,Coordinated Access and Assessment 
4,couch surfing
5,Emergency Housing 
6,Encampment
7,Encampments
8,Front Line
9,Front Line Worker
10,Harm Reduction
11,Health care
12,Lived Experience
13,low income
14,Peer Housing Support
15,Peer Housing Support Program
16,People with lived experience
17,Person experiencing homelessness 
18,PiT
19,PiT Count
20,Point in Time
21,Reaching Home 
22,Safe Supply 
23,Service provider 
24,Subsidized Housing 
25,Temporary housing 
26,Temporary shelter
27,Tiny Town
