type,handle
person,Adam_Stirling
person,CharlesBodi
person,NicoleChaland
person,Buckleygkml
person,Darylbassett3
person,sarahpottsvic
person,eric_doherty
person,self_govern4us
person,murray_langdon
person,dave_eby
person,GraceALore
person,Stephen_Andrew
person,ninethreeseven
person,coryresilient
person,HattieCosta1
person,photowarrior
person,CarolinaIbarra
person,CoreyRanger
person,MarikaAlbert
person,Laurel_BC
person,zacdevries
person,CouncllrNTaylor
person,ChiefManak
person,victoriasandy
person,PACochran
person,jfatkey
person,KristaLoughton
person,SongheesChief
person,spayneBC
person,DavidHScreech
person,MurdochOakBay
person,ColinPlant2018
person,BarbDesjardins
person,CTess1
person,JeremyLoveday
person,Louise_Hartland
person,BarclayWallace
person,Hilarylmarks
person,Fairfield_Comm
person,AdamPOlsen
person,kevinalbersBC
person,KatStinson
person,chartj88
person,BerniePauly
person,shelliegudgeon
person,BruceAlready
person,MajaTait
person,AdrianDix
person,r_garrison
person,ElizabethMay
person,AlanRycroft
organization,BC_Housing
organization,Island
organization,VanIslandHealth
organization,HomeforHope
organization,VREB
organization,CityofVictoria
organization,EsquimaltBC
organization,Vicpdcanada
organization,BeaconSave
organization,BurnsideGorge
organization,FernwoodFCA
organization,WeAreNorthPark
organization,FernwoodFCA
organization,crd_bc
organization,uvic
organization,SaanichPolice
organization,Ourplacesociety
organization,VicCoolAid
organization,PacificaHousing
organization,CSPC_Victoria
organization,NEED_2
organization,SAFERVic
organization,UmbrellaSociety
organization,TheCridgeCentre
organization,MustardSeedVic
organization,AVIVanIsle
organization,VicFoundation
organization,myDVBA
organization,TourismVI
organization,victoriavisitor
organization,VictoriaWorkBC
organization,SookeCoalition
organization,workingupstream
organization,existenceprojct
organization,SaferVic
organization,Soap4HopeYYJ
organization,JohnHoward_Can
organization,HouseAnawim
organization,TogetherVic
organization,MHSVictoria
organization,BeaconHillFolks
organization,HouseSooke
organization,OutreachSolid
organization,TheBackPackPro1
organization,TAGVictoriaBC
organization,TalktoAryze
organization,Acehsociety
organization,YoungParentsSup
organization,FirstMetVic
organization,VicPlaceMaking
organization,DRCVictoria
organization,SalArmyVicARC
organization,SubstanceUVic
organization,yyjpolitics
organization,vfamcourt
organization,cspoliceservice
organization,SJAVicBC
organization,UnitedAtOakBay
organization,IslandComMHA
organization,ILFP_Victoria
organization,RentSmartEdu
organization,EsquimaltNation
organization,FoundryVictoria
organization,jamesbaycp
organization,1upParents
organization,SanctuaryYC
organization,fernwoodvic
organization,HTAFVictoria
organization,yyjtenantsunion
organization,HillsideQuadra
organization,SVDPVI
organization,makolahousing
organization,VANDUpeople
organization,SPD_Community
organization,AnawimHouse
organization,yyj_housing
organization,peersvictoria
organization,QuadraVillage
organization,South_Island_C
organization,VictoriaDRA
organization,VicYouthCouncil
organization,wschamber1
organization,MHRPSOUTHISLAND
organization,saltspringx
organization,VictoriaWTH
organization,ExtremeOutreach
organization,varcsvictoria
organization,HabitatVictoria
