,Organizations
0, The Aboriginal Coalition to End Homelessness
1,ACEH
2,Aids Vancouver Island 
3,AVI
4,Anawim House 
5,Aryze Developments 
6,BC Housing
7,Beacon Community Services
8,Boys and Girls Club South Vanouver Island 
9,Burnside Gorge Neighbourhood Association
10,City of Colwood
11,City of Langford 
12,City of Victoria
13,Cool Aid Society 
14,District of North Saanich
15,District of Saanich 
16,Downtown Victoria Business Association
17,Fernwood Community Association 
18,Foundry Victoria 
19,Greater Victoria Acting Together
20,Greater Victoria Coalition to End Homelessness 
21,Greater Victoria Housing Society 
22,Habitat for Humanity Victoria 
23,Homelessness Services Association of BC
24,Island Health 
25,Literacy Victoria
26,Makola Housing Society 
27,Mental Health Society of Greater Victoria 
28,Our Place Society 
29,OPS
30,Pacifica Housing 
31,Peers Victoria Resources Society 
32,Quadra Village Community Centre
33,Red Cedar Café 
34,RentSmart 
35,Restorative Justice Victoria
36,Rotary Club of Victoria 
37,SAFER Victoria 
38,Salvation Army Victoria 
39,SOLID Outreach 
40,Sooke Homelessness Coalition
41,Substance UVic 
42,Tenant Action Group Victoria 
43,The Backpack Project 
44,The Cridge Centre for the Family 
45,The Downtown Victoria Business Association
46,DVBA
47,The Existence Project 
48,The Homeless Ideas Podcast
49,The John Howard Society of Victoria 
50,The Mustard Seed 
51,The Victoria Foundation
52,The Victoria Real Estate Board 
53,VREB
54,Town of View Royal 
55,Township of Esquimalt 
56,Umbrella Society 
57,United Way Southern Vancouver Island 
58,Vancouver Island Mental Health Society 
59,Vibrant Victoria
60,Victoria Brain Injury Society 
61,Victoria Chamber 
62,Victoria Family Court 
63,Victoria Harbour Cats
64,Victoria Native Friendship Centre 
65,Victoria Placemaking
66,Victoria Ready
67,Victoria Real Estate Board 
68,Victoria Sexual Assault Centre
69,Victoria Tenant Action Group
70,Victoria Women in Need
71,WorkBC
