,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
0,"@DannyEstewART @Adam_Stirling @CityOfVictoria Burnside Gorge needs as many polling stations as there were supportive/temporary housing foisted on the community. 

I would say put one on every corner of BeACon Hill Park too.",2022-05-17 21:43:01.112956,1525183678141198336,2022-05-13 18:38:20+00:00,0,0,4,0,,,,,BlueCarrotSoup,69,beacon hill park (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill park,Negative,0.3617517352104187
1,@CHEK_News @hannah_lepine Sadly this announcement runs concurrently with the story of Parksville’s rising homelessness for seniors.  A trip to a museum or art gallery is a cultural luxury for those with time and money…who live indoors.  Did Horgan not see the encampment at Beacon Hill Park next door?,2022-05-17 21:43:02.373817,1525832685792374785,2022-05-15 13:37:15+00:00,0,0,1,0,,,,,mr2bubby,4,beacon hill park (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill park,Negative,0.3463541269302368
2,"@renniefantastic @AwaitingJuno @GraceALore @RoyalBCMuseum If it’s not opening until 2030, can we make sure we put a copy of the (beheaded) Queen’s bust in there to show the inaction on crime during the first year of the pandemic in Beacon Hill Park.

Also, how does one capture ineffectiveness and virtue signalling in a inanimate object?",2022-05-17 21:43:03.620147,1525480153815494656,2022-05-14 14:16:25+00:00,1,0,5,0,,,,,ShellyUrquhart,530,beacon hill park (aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park,Negative,0.3458837568759918
3,"@KristaLoughton position on (plz): increased crime and policing costs, Crystal Pool rebuild, 24/7 camping, Sunday Parking and business friendly initiatives dt, Dog Park at royal athletic, Beacon Hill access for all (including access for those req. cars), amalgamation (with at least Saanich)...",2022-05-17 21:43:03.620147,1524786311755751424,2022-05-12 16:19:20+00:00,1,0,1,0,,,,,roblittledotca,351,beacon hill park (aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park,Positive,0.36927977204322815
4,@HeartAGlow @Adam_Stirling @CharlesBodi @TheBackPackPro1 @KristaLoughton @SOFMCVIC @self_govern4us The October election looks like it will be highly polarized event. The dividing issues will be a) crime and defunding the police b) cycling infrastructure c) up-zoning e) Clover Point f) Beacon Hill Park.,2022-05-17 21:43:03.620147,1524460986731614208,2022-05-11 18:46:37+00:00,1,1,1,0,,,,,Stew16art,451,beacon hill park (aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park,Negative,0.3604332208633423
5,@CHEK_News @hannah_lepine Sadly this announcement runs concurrently with the story of Parksville’s rising homelessness for seniors.  A trip to a museum or art gallery is a cultural luxury for those with time and money…who live indoors.  Did Horgan not see the encampment at Beacon Hill Park next door?,2022-05-17 21:43:04.856989,1525832685792374785,2022-05-15 13:37:15+00:00,0,0,1,0,,,,,mr2bubby,4,"beacon hill park (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",beacon hill park,Negative,0.3463541269302368
6,@Stephen_Andrew Open beacon Hill park. Restore clover point. Quit arbitrarily blocking roads. Clean downtown. Put up Christmas decorations. Eliminate all Camping in parks.,2022-05-17 21:43:07.318349,1526747720039268352,2022-05-18 02:13:16+00:00,0,0,1,0,,,,,Bruce55368227,226,beacon hill park (victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park,Negative,0.35152897238731384
7,"@KristaLoughton position on (plz): increased crime and policing costs, Crystal Pool rebuild, 24/7 camping, Sunday Parking and business friendly initiatives dt, Dog Park at royal athletic, Beacon Hill access for all (including access for those req. cars), amalgamation (with at least Saanich)...",2022-05-17 21:43:07.318349,1524786311755751424,2022-05-12 16:19:20+00:00,1,0,1,0,,,,,roblittledotca,351,beacon hill park (victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park,Positive,0.36927977204322815
8,"Michael Polite has been a great partner. Yesterday, was the ribbon cutting for the former Lemington Home  into senior housing and the E. Lib health center &amp; a story on his project at the Letche School into 46 affordable units 
https://t.co/S9KJ8MErxO https://t.co/DIyHDtFpKD",2022-05-17 21:43:08.628894,1526546333095583744,2022-05-17 12:53:02+00:00,0,0,3,0,,,,,danielgilman,11817,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Neutral,0.35165518522262573
9,Beacon Communities is preparing to take a long-mothballed former school in the Hill District and renovate it into its next affordable housing redevelopment in Pittsburgh.  https://t.co/3TVyXJQscV,2022-05-17 21:43:08.628894,1526276418681901065,2022-05-16 19:00:29+00:00,0,0,2,0,,,,,PghBizTimes,31696,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Positive,0.3362540006637573
