,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
0,"Reminder: 2022 Property Taxes are due July 4! Go online to claim your home owner grant and then pay your property taxes one of these ways: online or phone banking, by mail, through your mortgage lender, at your bank, tax deferral program, or at City Hall. https://t.co/uEsskSxdc6",2022-06-23 18:26:00.382436,1539748821919481856,2022-06-22 23:15:00+00:00,0,0,0,0,,,cityofcolwood,3365,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.34671565890312195
1,"RIP High Octane Refreshments at Hollywood Studios. Had my first theme park adult beverage here. Cheap drinks, great vibes. Less a place to relax, more for alcoholic dads to refuel. https://t.co/Taso5yD4Tc",2022-06-23 18:26:01.569782,1539617624425914368,2022-06-22 14:33:41+00:00,0,0,1,0,,,TrashMenace,221,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.36845260858535767
0,"Back with more #Updates for #SidlotteFanfiction 
General rule = #Sidlotte #HappyEnding required

Let’s start with Landito 

Shelter Luv - Twists And Turns 

https://t.co/5fTU89W65i

And Sidney knows he is stronger with Charlotte.. 😋

#Reading #writing #SidlotteForever #love https://t.co/F4PjEQZk8w",2022-06-23 18:26:02.825760,1539991362183073792,2022-06-23 15:18:47+00:00,0,0,0,0,,,SidlotteFanFic,234,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.37124720215797424
1,"@TomFitton You go Sidney the poor the week , the lower class have a champion I you",2022-06-23 18:26:02.825787,1539973584126283785,2022-06-23 14:08:08+00:00,0,0,1,0,,,bud_mae,19,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.341001957654953
2,"Former Public Dispensary, built 1902-4.
Pre-NHS medical services for the poor.
Leeds Deaf &amp; Blind Society HQ from 1975.
Conversion to flats under way.
Architect Sidney Kitson (1871-1937) - son of #Leeds engine maker James Kitson's second marriage. https://t.co/T1auQJK2XO",2022-06-23 18:26:02.825795,1539901794758844416,2022-06-23 09:22:52+00:00,2,0,9,0,,,LeedsTours,2423,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.35694774985313416
6,"@sidney_chilla @siardhi @CastropPanthers @dw_sports He'd just failed at Real Madrid, a poor Madrid side too after scoring 11 goals in 2 seasons. Mane is a Balon Dor contender. You're confusing what Robben became and what Robben was",2022-06-23 18:26:02.825822,1539653648254652416,2022-06-22 16:56:49+00:00,0,0,5,0,,,PropFreeLFC,265,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.383681982755661
7,"I don't understand how Garbiñe can keep herself in the top 10. Her levels for the last 5 months is out of the top 50. 8-11 in 2022, and best result 1/4 in Sidney. Very poor game level.",2022-06-23 18:26:02.825829,1539583641310957568,2022-06-22 12:18:38+00:00,0,0,0,0,,,CornersApuestas,21,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.396474689245224
8,"@TeamMonaSamone The only girls that gave that season were Judi, and Christina;I think the problem with season 1 was Janelle, Seven weren't exciting to watch when they weren't fighting.Tanisha was immature and annoying; Sarah was always crying and Sidney.. well.. Poor Judi, I felt for her.",2022-06-23 18:26:02.825836,1539406585067634688,2022-06-22 00:35:05+00:00,0,0,0,0,,,BADivaBitchCake,168,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.382651686668396
9,"Sidney winced. alright, alright. 

had to admit poor judgment on the dinos, she didn't think she'd freak out.

"" Okay. I'll make you dino shaped. "" Sidney put her down, making her way to the kitchen. https://t.co/wU0yB0lPfE",2022-06-23 18:26:02.825842,1539376413299679233,2022-06-21 22:35:11+00:00,0,1,0,0,,,SLASHERFIGHTER,238,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.37305301427841187
10,"""Being poor is only romantic in books.""
— Sidney Sheldon, Rage of Angels",2022-06-23 18:26:02.825849,1539343130738270210,2022-06-21 20:22:56+00:00,0,0,4,0,,,DougWalker9,2692,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3952254056930542
0,"TONIGHT @ 7pm!! SERPICO and DOG DAY AFTERNOON, on 35mm! We're celebrating the great editor Dede Allen who assembled these two crime drama masterworks starring Al Pacino and directed by Sidney Lumet!

https://t.co/Jb0eWUx7kX https://t.co/TiYz5vGFJa",2022-06-23 18:26:04.136578,1540032403909259264,2022-06-23 18:01:52+00:00,0,0,0,0,,,secretmovieclub,3368,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Positive,0.38500329852104187
3,read one of my mum’s novels ‘tell me your dreams’ by sidney sheldon. the MC suffers from DID (or before known as MPD/split personality disorder) due to past trauma from sexual abuse. thriller/mystery/crime genre. i was maybe too young to read that haha but very eye opening. https://t.co/Vt7wkmM5Ji,2022-06-23 18:26:04.136620,1539904189425680384,2022-06-23 09:32:23+00:00,0,0,1,0,,,fuelledbymilo,296,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3532382845878601
4,Justice Department asks about possible conflict of interest between Sidney Powell and Oath Keepers https://t.co/dDC3Pktj1d,2022-06-23 18:26:04.136626,1539903542869254144,2022-06-23 09:29:49+00:00,0,0,0,0,,,barney31912373,39,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3626164495944977
5,Justice Department asks about possible conflict of interest between Sidney Powell and Oath Keepers https://t.co/bakDmWxIN0,2022-06-23 18:26:04.136632,1539880704254922752,2022-06-23 07:59:04+00:00,0,0,0,0,,,Oldword16,403,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3595004081726074
6,Justice Department asks about possible conflict of interest between Sidney Powell and Oath Keepers https://t.co/xjW0ZnQwK3,2022-06-23 18:26:04.136638,1539871774728486912,2022-06-23 07:23:35+00:00,0,0,0,0,,,Tom196010,23,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3582163155078888
