text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
@FreeThinkerAno2 You have the right to film and report on public property. You have the legal right to record anything the eye can see in public despite Hollywood educated people telling you otherwise. The Supreme Court has already ruled on this. You have the right to park a camper with a camera,2022-08-01 23:12:32.325894,1554321028788076544,2022-08-02 04:19:45+00:00,1,0,1,0,,,uniteUSAagain,2534,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"8/ And finally, right, I don’t live in Royal Bay, in Colwood Corner or on Triangle Mountain. But buddy, I have a vested interest. I walk all corners of our city. I hear opinions from every nook and cranny. We are elected to represent all areas not just our own hood.",2022-08-01 23:12:32.325894,1554186344120799232,2022-08-01 19:24:34+00:00,1,0,7,2,,,GordieLogan,1182,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"This case was investigated by the WING Task Force.  WING is the Western Nebraska Intelligence Narcotics Group,  and includes the @NEStatePatrol, Scotts Bluff County Sheriff’s Office, Sidney Police Dept, Alliance Police Dept, Gering Police Dept, and Scottsbluff Police Dept. 4/4 https://t.co/1dNJcuoekx",2022-08-01 23:12:32.325894,1551936999438835712,2022-07-26 14:26:28+00:00,0,0,0,0,,,USAO_NE,2024,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@jamiejoestar every time i go to LA i see the weirdest shit. went on a picnic in north hollywood last weekend + saw a woman who eventually met up with a man + they set up a tent right next to us in the park to fuck 😭😭,2022-08-01 23:12:34.643517,1553921192813158401,2022-08-01 01:50:57+00:00,1,0,0,0,,,m0sspuppi,211,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
U should b 1930s maxxing. U should b reading the Group. U should b watching Sidney Lumet the Group. U should b fitted for your diaphragm to sleep w mid alcoholic painter bpd dad experimented on by Dr husband campaign for FDR then defenestrated til icy Candace Bergen pulls up,2022-08-01 23:12:34.643517,1553791849655066624,2022-07-31 17:16:59+00:00,1,0,1,0,,,simoneweilcore,122,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@WeaponOutfitter @CarlVolt Paul was a legit good dude in a sea of horrible people in Hollywood. I met him when I worked at Park City Mountain Resort. Was really down to earth and nice to me as a lift operator. We talked about cars near the Sundance awards tent for 10 minutes. Of course he was pro gun.,2022-08-01 23:12:34.643517,1553579348912791552,2022-07-31 03:12:35+00:00,1,0,20,0,,,ExploitedDreams,6,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"#TBT to July 1938 at Henry J. Kaiser’s Grand Coulee Dam worksite in Washington state. Founding physician Dr. Sidney Garfield started an affordable prepaid family health plan for workers, which prevented reoccurring injuries. 🔗https://t.co/KyaMzqbEpQ. https://t.co/yUpPjQk1Bp",2022-08-01 23:12:34.643517,1552700959507324929,2022-07-28 17:02:11+00:00,0,1,7,2,,,kphistory,1421,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"💦There will be a misting tent at Ocean View Park on Mary Anne Crescent from 2 to 5 pm today! Come play in the park and cool off!

Learn about Ocean View Park:
https://t.co/TLW8qeXaGI
Find more Extreme Heat Resources: https://t.co/Gv6zW1vPs5

Stay Cool Colwood! https://t.co/PnvSYvaXsm",2022-08-01 23:12:34.643517,1552385162603667456,2022-07-27 20:07:19+00:00,0,0,8,4,,,cityofcolwood,3407,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"#Colwood Fire has you covered with two cool options between 2 and 5pm today!
1. Colwood Elementary School on Sooke Road: firefighters will spray water from the fire truck 
2. A misting tent is set up in Herm Williams Park on Kelly Road.
https://t.co/Gv6zW1vPs5
#StayCoolColwood https://t.co/lIU3eFeCx1",2022-08-01 23:12:34.643517,1552035297705152512,2022-07-26 20:57:05+00:00,3,3,19,9,,,DominiqueBandet,86,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@TTChelps Hello, 

the 89 bus on weston heading north at 8:50 just passed me at the stop Sidney belsey &amp; weston. I now have to wait again on a holiday for the bus. Why did the bus driver not stop? The bus was not full. This has happened before. I was at the bus shelter",2022-08-01 23:12:37.039877,1554269919914901504,2022-08-02 00:56:40+00:00,0,0,0,0,,,green_peaks,16,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
