text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
"@localpalplastic It’s not bad in terms of noise but we’ve always been poor in terms of numbers. Apart from Burnley last season I can’t remember the last time we sold out north of the M25. We were also one of only three teams who failed to sell out Villa Park last year, and one of the other two",2022-08-22 19:17:07.300533,1561605278650572800,2022-08-22 06:44:46+00:00,5,0,0,0,,,JaniCPFC,2201,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3700800836086273
"@yoghurt35189292 @C_M_Dougherty What it doesn't show, and non of the rubles payed opinion makers can make believe, is that Russia is not having a walk in the park. They must move resources from other areas to keep their poor industry working. At the end they will be the new north Corea. But with Nazi people.",2022-08-22 19:17:07.300555,1561341920617676800,2022-08-21 13:18:16+00:00,0,0,0,0,,,daprovdaprov,5,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3744378685951233
@fairfield_iowa @caro_freedom @FreeBlckThought @GabsClark5 Maga dumb!You would think after generation upon generation electing GOP members to Congress and still be as poor as you were in the 70s they would switch it up and try a democrat for once. LBJ said it best: https://t.co/4tAffT6AGq,2022-08-22 19:17:07.300562,1561015369275510785,2022-08-20 15:40:40+00:00,1,0,0,0,,,concerned25193,62,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3759973645210266
@fairfield_iowa @caro_freedom @FreeBlckThought @GabsClark5 You would think after generation upon generation electing GOP members to Congress and still be as poor as you were in the 70s they would switch it up and try a democrat for once. LBJ said it best: https://t.co/4tAffT6AGq,2022-08-22 19:17:07.300567,1561010234168119303,2022-08-20 15:20:16+00:00,1,0,0,0,,,FairfieldVilla,2313,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.3605334162712097
"Half time 
Fairfield 1-1 @CovAlvis 
A real poor half from the swans constantly giving the ball away 
Got to give credit to alvis though they have hurried us in to silly mistakes 
A lot of work to be done second half to take anything from this game.",2022-08-22 19:17:07.300572,1561003103620579330,2022-08-20 14:51:56+00:00,0,0,0,0,,,AlanMembury,436,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.35603415966033936
Walked from the North Face car park with my 15 year old grandson hoping to see the North Face of Ben Nevis🤷‍♂️.  With intermittent hard rain it was not unexpected that views were poor today.  It was still a nice challenging walk with good views out over Fort William. #BenNevis https://t.co/uB14D0iJ4i,2022-08-22 19:17:07.300577,1560644143142998017,2022-08-19 15:05:33+00:00,1,0,12,0,,,dbbirding,451,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3808795213699341
HIGH WATER INVESTIGATION | DISPATCHED: 11:34:59 | CAMP BOWIE BLVD EB / FAIRFIELD AVE (MAP 74L) | UNITS:E30 https://t.co/ElhrEhD0Hx,2022-08-22 19:17:09.942725,1561753850494738436,2022-08-22 16:35:08+00:00,0,0,2,0,,,fwfdincidents,2487,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Positive,0.35819417238235474
It’s camp week for Concordia XC! Catch us up north at Park of the Pines this week. 🏃🏿‍♂️🏃🏼‍♀️,2022-08-22 19:17:09.942761,1561733299231408129,2022-08-22 15:13:28+00:00,0,0,4,0,,,CUAATFXC,590,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3960172235965729
"Known for its superb locations during the Great Migration, #OlakiraMigrationCamp follows the wildebeest migration around the Serengeti - from epic river crossings in the north to calving season in the southern plains.

📍: Olakira Migration Camp, Serengeti National Park, Tanzania https://t.co/zwd70b1OaV",2022-08-22 19:17:09.942773,1561684621300969473,2022-08-22 12:00:03+00:00,0,0,0,1,,,AsiliaAfrica,7614,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.42196837067604065
"Fri morning, pack camp and drive across Montana into North Dakota, which is unexpectedly gorgeous and the nation's greatest sunflower producer (complementary facts). Stay at Beaver Lake State Park, full of campers, noisy fun. Lots of little frogs for puppy to chase. /3 https://t.co/jHeeDjHIt0",2022-08-22 19:17:09.942815,1561449395148685314,2022-08-21 20:25:20+00:00,1,0,1,0,,,RadicalRuss,21222,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout,Neutral,0.3977260887622833
