,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,user_location,num_followers,search_keywords,search_neighbourhood
1,"Inauguration of the new building for the Class Office of the Indonesian Gospel Tent (Kingmi) in Tangma District, Yahukimo Regency, Papua Highlands Province👍
#WestPapuan
https://t.co/hrUzxDA58Q",2022-12-29 00:19:07.431970,1605876846297460737,2022-12-22 10:44:10+00:00,13,0,5,0,,,bn_1c,,396,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
4,"#Dubai Destinations: Here is the easiest and most affordable way to travel from Dubai to Hatta
How you can visit ‘the highlands of Dubai’ on new ‘Hatta Express Bus
#Travel #UAE 
https://t.co/Ys3g0O8Q52",2022-12-29 00:19:13.116853,1606289801979875333,2022-12-23 14:05:06+00:00,0,0,6,2,,,PerthScot,"Perth, Scotland",426,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
9,@fireladdyguy @otohp @bcliberals MY @saanich IN TRUST PROPERTY STOLENby #CIBC @BCSupremeCourt @LawSocietyofBC @Dave_Eby @SaanichPolice WITCHES toFACILITATE #MoneyLaunderinghttps://t.co/3E8kPJJidk INHERITANCE EMBEZZLED BY @bcndp leaving me #Homeless @cancourtsallca @CANCourtWatch @BCProsecution @MurrayRankinNDP https://t.co/q6vRyyxVbG #MeToo #HateCrime #Genocide @saanich WIDOW HAS🏡STOLEN by #CIBC @SaanichPolice @Dave_Eby @BCSupremeCourt @LawSocietyofBC @BCSheriffs “PUBLIC☠️SERVANTS” https://t.co/qaCcGTgYbwREAD https://t.co/S6736avZcAhttps://t.co/LIdSVAsZ2m@JCCFCanada @fumano @WAGE_FEGC @FeministaCanada https://t.co/5DvyFFDQHr,2022-12-29 00:19:16.574383,1606222599260098561,2022-12-23 09:38:04+00:00,0,0,0,0,,,ottawaspends,"Ottawa, Ontario, Canada",4189,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
10,"@saanich @saanich if you can't collect garbage because of the snow, complain to the district about streets not cleared -ah, well.....",2022-12-29 00:19:16.574524,1606057260978880512,2022-12-22 22:41:04+00:00,0,0,1,0,,,Tashadile,,212,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (avi OR peers victoria resources society OR victoria police department OR island health OR togethervic OR district of saanich OR south island centre for counselling ""and"" training OR young parents support OR greater victoria coalition to end homelessness OR makola housing society OR homeless OR alcoholic) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
21,"Pleased so many sensible and helpful recommendations have come from this process. The systems we have in place to protect our communities will never be foolproof, but they can also improve.

#FirearmsScotland

https://t.co/cWeSJ6LXhC",2022-12-29 00:19:19.427020,1605841895552344065,2022-12-22 08:25:17+00:00,1,0,6,2,,,Jedirev,"Sleat, Isle of Skye",529,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawim house OR saanich police community engagement division OR victoria tenant action group OR makola housing society OR united way southern vancouver island OR extreme outreach society  coffee house OR st. john ambulance OR hope through achievement foundation victoria OR our place OR peers victoria resources society OR homelessness OR camp) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
22,"I'm making a playlist of the best party songs. I could go to YouTube or Spotify for this;
1. Konshens-We no worry bout them
3. Camp Mulla-Party Don't stop
4. Vic West-Kuna Kuna
5. Nyashinsky -Hapo Tu
6. Mejja, Breeder-Gin ama Whisky
7.  Kanda bongo man - Muchana

Tuendelee",2022-12-29 00:19:19.427056,1605841186706841602,2022-12-22 08:22:28+00:00,0,0,9,1,,,AbunwasiGenje,,1205,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawim house OR saanich police community engagement division OR victoria tenant action group OR makola housing society OR united way southern vancouver island OR extreme outreach society  coffee house OR st. john ambulance OR hope through achievement foundation victoria OR our place OR peers victoria resources society OR homelessness OR camp) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
23,"@Amanda_lovelie I would love to camp out for days on your highlands, take in the view over and over again",2022-12-29 00:19:19.427085,1605833281781522434,2022-12-22 07:51:03+00:00,0,0,0,0,,,LawrencLloyd,,45,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawim house OR saanich police community engagement division OR victoria tenant action group OR makola housing society OR united way southern vancouver island OR extreme outreach society  coffee house OR st. john ambulance OR hope through achievement foundation victoria OR our place OR peers victoria resources society OR homelessness OR camp) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
29,"Some lovely images here from the @dounreay early years including carol singing in the new ""atomic housing"" communities in 1958. We are proud of our history and the community we work so closely with #vintage #festive https://t.co/B1XY5NCca9",2022-12-29 00:19:22.735834,1606230735949647872,2022-12-23 10:10:24+00:00,1,0,3,1,,,PerthScot,"Perth, Scotland",426,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
30,"RT pressjournal: Highland Council has paused all non-essential repairs 'to get housing budgets back on track'.
https://t.co/PK14bts36x",2022-12-29 00:19:22.735892,1605880062363959298,2022-12-22 10:56:57+00:00,0,0,0,0,,,pressjournal,"Scotland, United Kingdom",69709,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (anawin companion society OR safer victoria OR vtag OR mental health recovery partners, south island OR vancouver island mental health society OR greater victoria acting together OR the mustard seed OR yyj tenants union OR pacifica housing OR solid outreach OR housing OR camper) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
39,"BRISTOL, Va. (WCYB) — Plunging temperatures and prolonged exposure to the extreme cold could lead to hypothermia or death. That's why Bristol is just one local community opening up warming shelters for those in need. https://t.co/oAkyB7i20a",2022-12-29 00:19:25.658625,1606411413035130898,2022-12-23 22:08:21+00:00,0,0,0,0,,,dothaneagle,"Dothan, Alabama",11218,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (avivanisle OR sanctuary youth centre OR victoria women's transition house OR mustard seed OR vandu OR greater victoria placemaking network OR victoria foundation OR encampment OR salvation army OR umbrella society OR shelter OR camping) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
