,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
0,#99cents! Sidney's father is found dead floating in a vat of beer accompanied by two pole dancers &amp; their performing sheep. Then he's abducted by a group of thieving alcoholic aliens. TOXIC BEER by @SimonbullockA #Win a $20 Amazon/BN GC.  @LASReviews https://t.co/ZzgkpcTd8m https://t.co/ASHHL4AJHi,2022-07-16 23:58:15.043242,1548132875265986563,2022-07-16 02:30:15+00:00,0.0,0.0,0.0,0.0,,,GoddessFish,11339,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3751354515552521
1,@sommecourt Thank you! I've done a bit more digging on most of them (as well as some of the sisters) since writing. Thomas had lots of run-ins with the law as a kid! And poor Sidney. The Wannops lost Sidney's slightly older sister May the same year too. https://t.co/8ODJSttaAP,2022-07-16 23:58:16.306724,1548367548097257474,2022-07-16 18:02:45+00:00,1.0,0.0,1.0,0.0,,,wrestling1880s,1249,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3515450656414032
2,@miss_heywoods Yes of course there are those too...I wish they would give up on poor zombie Sidney 🧟‍♂️ 😢,2022-07-16 23:58:16.306784,1548355972191567877,2022-07-16 17:16:45+00:00,1.0,0.0,1.0,0.0,,,TeriKivari,195,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3650902807712555
3,"Another Post #HOLIDAY #update from @wwrites22  Writingheals

Surprise!

https://t.co/CDn9Mn0NjP

And Poor Charlotte is not well at all 😢😢
Sidney gets to show her her w much he cares.. ❤️

#SidlotteFanfiction #Reading #writing #SidlotteForever #ModernStory #memoryloss #Romance https://t.co/8xAP8n7732",2022-07-16 23:58:16.306806,1548312477930180608,2022-07-16 14:23:55+00:00,1.0,0.0,5.0,4.0,,,SidlotteFanFic,239,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3511864244937897
4,"@YourFxvoriteBob “Mmmph my poor puppy was hard and I needed to give him extra attention.”

Sidney overheard her aunt refer to a man the other week by that nickname and wanted to use it to show how ready she is to get fucked hard so early in the day.",2022-07-16 23:58:16.306824,1547958850203951109,2022-07-15 14:58:44+00:00,1.0,0.0,0.0,0.0,,,JoystickAddict,2654,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3558567762374878
5,@thehill LOL. Poor Dinesh and his 200 Asses movie and Sidney Powell with her Kraken release. 🤪🤣,2022-07-16 23:58:16.306843,1547903471512215552,2022-07-15 11:18:40+00:00,0.0,0.0,3.0,0.0,,,DianeToucan,3184,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3682651817798614
6,"Right! Creepy, leering, cringy Coldsore and poor Charlotte to this absolutely wonderfully respectful gentleman, Sidney! #NeverEverMovingOn #StillSidlotte #ForeverSidney #SaveSidneyParker #TrueSanditon #SidlotteForever #JASanditon #LastAustenHero #NoComparison #SidlotteUnited https://t.co/15iw7OlzVt @jenvan16 Every time I look at the Colbore dance I 🤮, but then I need to watch the Golden dance of #SidlotteForever and smile 😊 https://t.co/IblVcJIx0d",2022-07-16 23:58:16.368967,1547764604515729408,2022-07-15 02:06:52+00:00,1.0,0.0,4.0,2.0,,,jenvan16,216,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.3438747823238373
7,"@RepRosendale Also, let’s go ahead and say more oil production comes to Montana. Glendive and Sidney were absolutely ravaged by higher crime rates during the last boom, and small towns like Richie and Lamber now have tons of empty housing units that no one wants to occupy.",2022-07-16 23:58:17.625031,1548062216343003136,2022-07-15 21:49:28+00:00,0.0,0.0,0.0,0.0,,,janitor_night,3,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3727644383907318
8,"@GazzolaDiana @tribelaw Mike Flynn, Rudy, Sidney Powell all come to mind as well…along with a myriad of @Congressional members; gonna need a bigger “white collar” crime prison!",2022-07-16 23:58:17.625071,1547949437300838400,2022-07-15 14:21:20+00:00,1.0,0.0,0.0,0.0,,,kenmoore61,121,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3682692050933838
9,"@patriottakes Not sure which crime is more egregious: that one Congress member is so consistently abusive to another member she's crazy mad jealous of, OR that MTG has co-opted a young Sidney Powell wardrobe, you know, before Marshall's released the clearance rack as their central feature.",2022-07-16 23:58:17.625090,1547748102353719299,2022-07-15 01:01:18+00:00,1.0,0.0,3.0,0.0,,,TempletonZe,744,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.3637079298496246
