,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,username,num_followers,search_keywords,search_neighbourhood
0,"Hey @JustinTrudeau instead of talking to Lisa Helps about Electric Vehicle Infrastructure, how about dealing with the homeless problem here in Victoria?

As a single parent I have been living in my car since June with no end in sight.

#bcpoli #Homeless #canadianpoli",2022-04-11 15:43:08.668693,1513580766441066498,2022-04-11 18:12:30+00:00,0,0,1,0,larknation69,13117,Victoria Homeless,Victoria
1,"@SpongebobBirth @Flattielover @LadyOfTheOcean1 @Vickie627 @KsLiberal @Synyster63 @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 They are flooding into our country, and they are either working American jobs or living off the taxpayers. Have you ever seen a homeless illegal alien? Have you ever been to a community hospital ER?  https://t.co/kTsU31akKF",2022-04-11 15:43:08.668693,1513574164057280512,2022-04-11 17:46:16+00:00,1,0,2,0,jerbear714,895,Victoria Homeless,Victoria
2,"@KsLiberal @gopisdirty @TommyD07868371 @LadyOfTheOcean1 @Synyster63 @ShellyRKirchoff @PridgeWessea @Silver_Strike @Saggit95 @Vickie627 @Flattielover @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @donnnie @akuscg @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 The case I'm making is they are flooding over here, and they are either working American jobs or living off the taxpayers. Have you ever seen a homeless illegal alien? Have you ever thought about why? Have you ever been to a community hospital ER? https://t.co/kTsU31akKF",2022-04-11 15:43:08.668693,1513298762009124864,2022-04-10 23:31:55+00:00,1,0,1,0,HatedByBCgovt,20,Victoria Homeless,Victoria
3,@HomeForHope @BurnsideGorge I am #homeowner #widow in @saanich had my in trust privateproperty stolen https://t.co/KX9QNPdFag by @cibc @BCProvCourt @David_eby every dime embezzled by @bcndp now #extremepoverty homeless/forced into prostitution. 1st act of #genocide against family/son https://t.co/u7LPS12QS0,2022-04-11 15:43:08.668693,1513216985059913730,2022-04-10 18:06:58+00:00,0,0,0,0,brightsider123,12509,Victoria Homeless,Victoria
4,"Had loads of yellow sticker mushrooms and a yellow sticker beef joint - so today the homeless couple ate Beef and Mushroom Stroganoff, with rice…followed by gluten free (yellow sticker) Victoria sponge and custard.  In these shitty times it makes me happy I can do a tiny bit 1/2",2022-04-11 15:43:08.668693,1513201687476981762,2022-04-10 17:06:10+00:00,1,0,9,0,EndZonerBoner,259,Victoria Homeless,Victoria
5,"@george_pattons @gopisdirty @PeterBartholo14 @DaniTrump2020 @Randomwatcher51 @Bad_Boy_Jesus @Mountain_Buddy @jerbear714 @Vickie627 @LadyOfTheOcean1 @fukit32 @Bigteethyouhave @PridgeWessea @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 Taxes
Criminals released 
Crime wave
Hunter
Covid deaths skyrocket
Homeless population growing
The red tsunami",2022-04-11 15:43:08.668693,1513164066654765062,2022-04-10 14:36:41+00:00,2,0,2,1,victoriacitro,3722,Victoria Homeless,Victoria
6,"Meanwhile in victoria’s  momo world 🌎 
Homeless diary in Europe!
My friend is sleeping and I don’t have the keys 🔑 waiting  for a miracle and she woke up soon  7 am local time 
Sunday fun day #NFTCommmunity https://t.co/lo2jJyicac",2022-04-11 15:43:08.668693,1513070799359561728,2022-04-10 08:26:04+00:00,1,0,2,0,DaniTrump2020,6641,Victoria Homeless,Victoria
7,@PridgeWessea @Bigteethyouhave @EndZonerBoner @LadyOfTheOcean1 @fukit32 @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl Actually go see Elon Musks account. He's asking if they should convert the Twitter HQ in SF for thr Homeless.,2022-04-11 15:43:08.668693,1512997204100894721,2022-04-10 03:33:38+00:00,2,0,2,0,CharlesBodi,719,Victoria Homeless,Victoria
8,"Great news

I scored a perfect 10.0 on Twitter today

I defended BIPOC, advocated for the homeless, made our community better, school #brWOKEn idiots, educated the Bicycle Lobby and blocked Together Victoria trolls https://t.co/z0YGPvElDA",2022-04-11 15:43:08.668693,1512994372270243840,2022-04-10 03:22:23+00:00,1,0,9,0,Vickie627,6122,Victoria Homeless,Victoria
9,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Yes it is hateful. They’re being treated very badly in Tijuana. They are homeless in Tijuana,2022-04-11 15:43:08.668693,1512985418043564034,2022-04-10 02:46:48+00:00,1,0,1,0,PridgeWessea,1466,Victoria Homeless,Victoria
