text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
"@sarahpottsvic this is true. I live beside Beacon Hill Park and engaged in a one-way dialogue with all city councillors, including yourself, explaining both the impact on me and my family of the tent city council set up, and also offering some different solutions.",2022-04-27 11:00:56.487756,1517540279321980929,2022-04-22 16:26:11+00:00,0,0,3,0,,,,,PeggyE2021,10,beacon hill park (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill park
"TODAY at 12pm: Join PTPG, #TransitIsEssentialMA and @MayorWu as we call on Beacon Hill &amp; the MBTA for a low-income fare! Together, let’s reverse decades of underfunding and start making our public transit more equitable for working families. 

📍 Park St T Station https://t.co/YPKaL5S1e5",2022-04-27 11:00:57.712435,1518566329590161408,2022-04-25 12:23:21+00:00,0,0,17,4,,,,,GreenRootsEJ,2405,beacon hill park (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill park
@sarahpottsvic Very true. I was profoundly impacted by the Beacon Hill Park Camp. Sadly no one from council ever reached out to me even though I wrote to them (you) several times. @BeaconSave,2022-04-27 11:00:59.003974,1517523968898441221,2022-04-22 15:21:23+00:00,2,0,24,5,,,,,MS_athlete,1681,beacon hill park (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park
"The request for witnesses to the crime led to a @CityOfVictoria councillor attacking VicPD for using the word ""beheaded"" in the press release, suggesting the word created unfair stigma to persons sheltering in the park. 

Another day in Beacon Hill #yyj 

https://t.co/yMbUul5DLC",2022-04-27 11:00:59.003974,1517228240116539393,2022-04-21 19:46:15+00:00,4,0,12,1,,,,,Adam_Stirling,9683,beacon hill park (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park
"MA needs affordable and equitable transit! Join Public Transit Public Good coalition, Transit is Essential coalition, and special guest Mayor Wu as we call on Beacon Hill and the MBTA to advance affordable transit statewide.
Mon, 4/25, 12pm
Park Street Station 
@massCLU https://t.co/RMX1OsguZL",2022-04-27 11:00:59.003974,1517228100186263553,2022-04-21 19:45:42+00:00,0,0,1,0,,,,,GBLCBoston,3692,beacon hill park (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,beacon hill park
"@sarahpottsvic this is true. I live beside Beacon Hill Park and engaged in a one-way dialogue with all city councillors, including yourself, explaining both the impact on me and my family of the tent city council set up, and also offering some different solutions.",2022-04-27 11:01:01.350354,1517540279321980929,2022-04-22 16:26:11+00:00,0,0,3,0,,,,,PeggyE2021,10,beacon hill park (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,beacon hill park
@ShellyUrquhart I joined twitter when Lisa Helps and her clown posse allowed camping in Beacon Hill Park. I knew it was going to be a disaster,2022-04-27 11:01:02.549216,1518779842304520192,2022-04-26 02:31:46+00:00,1,0,3,0,,,,,Bruce55368227,209,beacon hill park (the victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park
"TODAY at 12pm: Join PTPG, #TransitIsEssentialMA and @MayorWu as we call on Beacon Hill &amp; the MBTA for a low-income fare! Together, let’s reverse decades of underfunding and start making our public transit more equitable for working families. 

📍 Park St T Station https://t.co/YPKaL5S1e5",2022-04-27 11:01:02.549216,1518566329590161408,2022-04-25 12:23:21+00:00,0,0,17,4,,,,,GreenRootsEJ,2405,beacon hill park (the victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park
"Many many People would love to live in Boston and Cambridge, in neighborhoods like Beacon Hill which focus on putting them close to the action, accepting giving up cars, parking, and other things to do so. By making this type of housing illegal to build we leave these people out.",2022-04-27 11:01:03.794384,1517558186068348928,2022-04-22 17:37:21+00:00,2,0,49,2,,,,,crschmidt,4503,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"Anyway. For those unfamiliar, this is the Beacon Hill neighborhood in Boston. In a city known for high cost housing, Beacon Hill stands out as being near the top: a highly desirable neighborhood for the wealthy known for dense construction close to walkable amenities.",2022-04-27 11:01:03.794384,1517556508673949697,2022-04-22 17:30:41+00:00,1,0,65,1,,,,,PeggyE2021,10,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"@sarahpottsvic this is true. I live beside Beacon Hill Park and engaged in a one-way dialogue with all city councillors, including yourself, explaining both the impact on me and my family of the tent city council set up, and also offering some different solutions.",2022-04-27 11:01:03.794384,1517540279321980929,2022-04-22 16:26:11+00:00,0,0,3,0,,,,,BruceMohl,5153,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
Symone Crawford of the Massachusetts Affordable Housing Alliance says bold action by Beacon Hill is needed to address the racial gap in homeownership. https://t.co/SvtOEpYmFq,2022-04-27 11:01:03.794384,1517491926957764608,2022-04-22 13:14:03+00:00,0,0,0,0,,,,,Culpepper4Sen,92,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"Environmental justice is housing justice and racial justice – and passing a Green New Deal will ensure we address decades of environmentally-induced health problems in Black and Brown communities. Join the movement to ensure we have a voice on Beacon Hill!
https://t.co/zvBdI17Z5L",2022-04-27 11:01:03.794384,1517164435755970560,2022-04-21 15:32:43+00:00,0,0,0,0,,,,,_BethArnold_,767,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
@LocalPoliticsis Only job in the state with no Cori check. She will be back up &amp; “working “ on Beacon Hill.  A poor man’s Marion Barry,2022-04-27 11:01:05.134741,1519318017670328320,2022-04-27 14:10:17+00:00,0,0,1,0,,,,,bckhndbabysauce,58,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"I had a GREAT day of SERVICE yesterday with my brothers of @DblEpsilonSigma! 

We partnered with Faith Tabernacle World Ministries to distribute hot meals, clothing, PPE, and #Covid19 Rapid Test kits to our Unhoused Neighbors across Beacon Hill and the CID. 

#SeattleSigmas https://t.co/nQKFa5dYPt",2022-04-27 11:01:05.134741,1518654871590690816,2022-04-25 18:15:11+00:00,0,0,8,1,,,,,kunluv,4434,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"I had a GREAT day of SERVICE yesterday with my brothers of @DblEpsilonSigma! 

We partnered with Faith Tabernacle World Ministries to distribute hot meals, clothing, PPE, and #Covid19 Rapid Test kits to our Unhoused Neighbors across Beacon Hill and the CID. 

#SeattleSigmas https://t.co/vWdRLvTzTS",2022-04-27 11:01:05.134741,1518654614320558080,2022-04-25 18:14:09+00:00,1,0,4,1,,,,,chukundi206,1263,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"Chelsea resident &amp; GreenRoots member Mitikei shares many Chelsea working class families continue to struggle due to the pandemic. A low-income fare would provide relief to families in Greater Boston: “Transportation is a life line for us.” 

Let’s act now, Beacon Hill! https://t.co/rHOp21mQOW",2022-04-27 11:01:05.134741,1518624213946535937,2022-04-25 16:13:21+00:00,1,0,14,3,,,,,GreenRootsEJ,2405,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"Let's see how poor @massdems on Beacon Hill, behind closed doors, will make MA Residents poorer today #mapoli",2022-04-27 11:01:05.134741,1518621971596066817,2022-04-25 16:04:27+00:00,0,0,1,0,,,,,OutcastUnder,80,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"There’s a fire at a homeless encampment on the northwest slope of Beacon Hill kind of between I-90 and the Rizal bridge. Lots of black smoke, high flames.",2022-04-27 11:01:05.134741,1518582475361988608,2022-04-25 13:27:30+00:00,1,0,1,0,,,,,brynne_mk,637,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"TODAY at 12pm: Join PTPG, #TransitIsEssentialMA and @MayorWu as we call on Beacon Hill &amp; the MBTA for a low-income fare! Together, let’s reverse decades of underfunding and start making our public transit more equitable for working families. 

📍 Park St T Station https://t.co/YPKaL5S1e5",2022-04-27 11:01:05.134741,1518566329590161408,2022-04-25 12:23:21+00:00,0,0,17,4,,,,,BruceMohl,5153,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
