text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
@Sidney_ldn Jesus is good but he ain’t that guy to lead a frontline and raphinha’s alright,2022-06-27 12:39:31.365870,1541128719426797570,2022-06-26 18:38:14+00:00,0,0,0,0,,,,,NotAlamin,192,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"24 Hours Left -  Manager of Finance - City of Colwood (Colwood, BC) https://t.co/0B2Mi7hAnH",2022-06-27 12:39:31.365870,1540266489248264192,2022-06-24 09:32:02+00:00,0,0,0,0,,,,,CivicJobs,4012,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Reminder: 2022 Property Taxes are due July 4! Go online to claim your home owner grant and then pay your property taxes one of these ways: online or phone banking, by mail, through your mortgage lender, at your bank, tax deferral program, or at City Hall. https://t.co/uEsskSxdc6",2022-06-27 12:39:31.365870,1539748821919481856,2022-06-22 23:15:00+00:00,0,0,0,0,,,,,cityofcolwood,3373,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@rinker_sidney @acrylicatm @Apocalypto_12 Absolutely. It's in the Bible that judgement is on God and not on people. But yet people think they have the right to call you down. Distribution of wealth is in the Bible... yet so many live in poverty. Even marriage in the OT starts when you choose each other...,2022-06-27 12:39:32.806743,1541120063264043009,2022-06-26 18:03:50+00:00,1,0,0,0,,,,,prwithkayla,40,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@Zux0r @jezsta1 @nick_lawlor @johnpauljonesre @stillgray I appreciate the honesty. Most leftists don’t value truth. Oprah Winfrey, Leonardo DiCaprio, Sanjay Gupta &amp; Sidney Poitier were all raised in poverty, but you would have had them killed. Throughout history, millions have risen to great success from meager circumstances.",2022-06-27 12:39:32.806743,1540739153846947841,2022-06-25 16:50:14+00:00,1,0,0,0,,,,,warthog60,3,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
Affordable housing would increase the availability of workers for small businesses. #Colwood Council will be considering a rent bank to provide short-term financial help to low-to-moderate income households at risk of losing their housing.,2022-06-27 12:39:32.806743,1539699270093131776,2022-06-22 19:58:06+00:00,1,1,1,0,,,,,cityofcolwood,3373,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"RIP High Octane Refreshments at Hollywood Studios. Had my first theme park adult beverage here. Cheap drinks, great vibes. Less a place to relax, more for alcoholic dads to refuel. https://t.co/Taso5yD4Tc",2022-06-27 12:39:32.806743,1539617624425914368,2022-06-22 14:33:41+00:00,0,0,1,0,,,,,TrashMenace,223,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Are you one of the many residents of the Royal Bay neighbourhood in Colwood, BC? Would you like to enjoy daytime one-way privacy without keeping your blinds closed all day? Privacy window film is an affordable solution! https://t.co/634KJLPBVF #royalbay #colwood #windowtreatment",2022-06-27 12:39:32.806743,1539309662377455618,2022-06-21 18:09:57+00:00,0,0,0,0,,,,,LuxTintVictoria,12,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
The Victoria Foundation is honoured to work First Nations communities and organizations and acknowledges with respect the Lekwungen speaking people of the Songhees and Esquimalt Nations on whose traditional lands our offices are located. 2/6,2022-06-27 12:39:32.806743,1539290054459150336,2022-06-21 16:52:02+00:00,1,0,2,0,,,,,VicFoundation,8610,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@laurenboebert I’ll complete lies like, “Trump won!”?
Youlittle pawns are on the front line are going to be thrown aside, just like Sidney Powell who is about to be disbarred IN TEXAS for blatantly lying to the court when she had no evidence. 
You forgot about your husband exposing himself! https://t.co/SQS56OLIwr",2022-06-27 12:39:32.806743,1539038179554037762,2022-06-21 00:11:10+00:00,0,0,0,0,,,,,ClemFandangoJr,135,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
