,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score
0,"@MS_athlete @CityOfVictoria One of the most annoying things about Alto, was when she justified camping in Beacon Hill Park because ""she had to look her children in the eye."" She and her family live in Saanich. Who knew a vote for Alto meant her Saanich children got final say in Victoria matters? No thanks.",2022-05-23 10:12:43.720165,1526920300503236608,2022-05-18 13:39:03+00:00,0,0,3,0,,,,,WallySa62518167,23,beacon hill park (victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park,Positive,0.3804846704006195
1,@Stephen_Andrew Open beacon Hill park. Restore clover point. Quit arbitrarily blocking roads. Clean downtown. Put up Christmas decorations. Eliminate all Camping in parks.,2022-05-23 10:12:43.720165,1526747720039268352,2022-05-18 02:13:16+00:00,0,0,5,0,,,,,Bruce55368227,231,beacon hill park (victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park,Negative,0.38021108508110046
2,"NOTICES: SWEETWATERS, DIMBAZA 

The electric cables were stolen over the weekend at Beacon Hill pump station, which pumps water to Sweetwaters and KWT Golf Course. 

In Dimbaza, We are closing the main line before due to a bad pipeline leak, there will be no water for few hours. https://t.co/PkqdqLXOLX",2022-05-23 10:12:45.010687,1528733869616287746,2022-05-23 13:45:31+00:00,0,1,0,1,,,,,OfficialBCMM,4428,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Positive,0.3658653795719147
3,Beacon Communities teeing up next affordable housing project https://t.co/XPTADfzCc6 https://t.co/Kpf6oLHnjc,2022-05-23 10:12:45.010687,1528571649766969344,2022-05-23 03:00:55+00:00,0,0,0,0,,,,,PghBizTimes,31703,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Positive,0.3720342218875885
4,@sedgywarbler Don’t be that disappointed had to get off the shabby cooch and just arrived at the top of beacon hill could turn back to been an alcoholic if I do this a days drink and celebrating 🍺🍺🚴‍♀️🚴‍♀️,2022-05-23 10:12:45.010687,1528355035406557184,2022-05-22 12:40:10+00:00,0,0,1,0,,,,,AshingtonGary,266,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Negative,0.36193451285362244
5,"Michael Polite has been a great partner. Yesterday, was the ribbon cutting for the former Lemington Home  into senior housing and the E. Lib health center &amp; a story on his project at the Letche School into 46 affordable units 
https://t.co/S9KJ8MErxO https://t.co/DIyHDtFpKD",2022-05-23 10:12:45.010687,1526546333095583744,2022-05-17 12:53:02+00:00,0,0,6,1,,,,,danielgilman,11822,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Positive,0.34666699171066284
6,Beacon Communities is preparing to take a long-mothballed former school in the Hill District and renovate it into its next affordable housing redevelopment in Pittsburgh.  https://t.co/3TVyXJQscV,2022-05-23 10:12:45.010687,1526276418681901065,2022-05-16 19:00:29+00:00,0,0,2,0,,,,,PBT_Tim,2597,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill,Positive,0.404080867767334
7,Beacon Communities teeing up next affordable housing project https://t.co/XPTADfzCc6 https://t.co/Kpf6oLHnjc,2022-05-23 10:12:46.305683,1528571649766969344,2022-05-23 03:00:55+00:00,0,0,0,0,,,,,PghBizTimes,31703,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill,Positive,0.3720342218875885
8,"Listen up Beacon Hill: Time to end 'negative impact' fees for minority cannabis businesses @CommonWealthMag @yambamarket 
https://t.co/gMkwAt7OXY",2022-05-23 10:12:46.305683,1527696294680068097,2022-05-20 17:02:34+00:00,0,0,1,0,,,,,francywade,2030,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill,Positive,0.3736693561077118
9,"Michael Polite has been a great partner. Yesterday, was the ribbon cutting for the former Lemington Home  into senior housing and the E. Lib health center &amp; a story on his project at the Letche School into 46 affordable units 
https://t.co/S9KJ8MErxO https://t.co/DIyHDtFpKD",2022-05-23 10:12:46.305683,1526546333095583744,2022-05-17 12:53:02+00:00,0,0,6,1,,,,,danielgilman,11822,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill,Positive,0.34666699171066284
