,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
0,@LadyOfTheOcean1 @ShellyRKirchoff @__bee_kay__ @Bigteethyouhave @PridgeWessea @Savageheart3d @gopisdirty @TommyD07868371 @Frdmlvr3691 @jchutch2 @cloudzzz757 @WeaponsofMassD @Flattielover @chriscr66024638 @SkittlesRevenge @DaniTrump2020 @PeterBartholo14 @WickedDog3 @SpongebobBirth @nevacomplyagain @Trukermik @Saggit95 @SuP3rK @jerbear714 @Silver_Strike @KsLiberal @Vickie627 @donnnie @akuscg @PalusoSonny @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @RushvilleRockit @lordstanley2019 @SithLordTwinkie Yet I’ve already said I don’t want Trump to run again. You act like you know me but you haven’t got a clue. You’re an uniformed elitist who thinks throwing a bag of food at the homeless makes you a saint.,2022-04-12 15:59:46.087846,1513986402970738700,2022-04-12 21:04:21+00:00,0,0,1,0,,,,Synyster63,255,Victoria Homeless,Victoria
1,"@StephenPunwasi @the_ikiru @KarmSumal It's way way way worse now. If you want to see a place that is just ""bad"" you can drive around Victoria and there are a lot of homeless. In Vancouver it's like an army in about a 10 block radius every day. Huge swarms of homeless.",2022-04-12 15:59:46.087846,1513894826495791105,2022-04-12 15:00:28+00:00,0,0,4,0,,,,RomeTimed,576,Victoria Homeless,Victoria
2,Back in Europe from a visit to British Columbia. Victoria and Vancouver Island very interesting in terms of agritech development but I was dismayed with Vancouver and it's apparent lack of interest in dealing with the mega homeless problem https://t.co/megBjDO6wu,2022-04-12 15:59:46.087846,1513847947422806016,2022-04-12 11:54:11+00:00,0,0,5,0,,,,DanielRadJ,6590,Victoria Homeless,Victoria
3,When homeless shelters started to appear in Victoria England in the latter half of the 19th century were they contradicted by the long established Workhouses? #UPSC https://t.co/AWZKfKmx4t,2022-04-12 15:59:46.087846,1513671249418936321,2022-04-12 00:12:03+00:00,0,0,0,0,,,,UPSCPractice,1081,Victoria Homeless,Victoria
4,"Hey @JustinTrudeau instead of talking to Lisa Helps about Electric Vehicle Infrastructure, how about dealing with the homeless problem here in Victoria?

As a single parent I have been living in my car since June with no end in sight.

#bcpoli #Homeless #canadianpoli",2022-04-12 15:59:46.087846,1513580766441066498,2022-04-11 18:12:30+00:00,0,0,1,0,,,,larknation69,13115,Victoria Homeless,Victoria
5,"@SpongebobBirth @Flattielover @LadyOfTheOcean1 @Vickie627 @KsLiberal @Synyster63 @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 They are flooding into our country, and they are either working American jobs or living off the taxpayers. Have you ever seen a homeless illegal alien? Have you ever been to a community hospital ER?  https://t.co/kTsU31akKF",2022-04-12 15:59:46.087846,1513574164057280512,2022-04-11 17:46:16+00:00,1,0,2,0,,,,jerbear714,898,Victoria Homeless,Victoria
6,"@KsLiberal @gopisdirty @TommyD07868371 @LadyOfTheOcean1 @Synyster63 @ShellyRKirchoff @PridgeWessea @Silver_Strike @Saggit95 @Vickie627 @Flattielover @Bigteethyouhave @Frdmlvr3691 @DaniTrump2020 @donnnie @akuscg @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 The case I'm making is they are flooding over here, and they are either working American jobs or living off the taxpayers. Have you ever seen a homeless illegal alien? Have you ever thought about why? Have you ever been to a community hospital ER? https://t.co/kTsU31akKF",2022-04-12 15:59:46.087846,1513298762009124864,2022-04-10 23:31:55+00:00,1,0,1,0,,,,HatedByBCgovt,20,Victoria Homeless,Victoria
7,@HomeForHope @BurnsideGorge I am #homeowner #widow in @saanich had my in trust privateproperty stolen https://t.co/KX9QNPdFag by @cibc @BCProvCourt @David_eby every dime embezzled by @bcndp now #extremepoverty homeless/forced into prostitution. 1st act of #genocide against family/son https://t.co/u7LPS12QS0,2022-04-12 15:59:46.087846,1513216985059913730,2022-04-10 18:06:58+00:00,0,0,0,0,,,,brightsider123,12507,Victoria Homeless,Victoria
8,"Had loads of yellow sticker mushrooms and a yellow sticker beef joint - so today the homeless couple ate Beef and Mushroom Stroganoff, with rice…followed by gluten free (yellow sticker) Victoria sponge and custard.  In these shitty times it makes me happy I can do a tiny bit 1/2",2022-04-12 15:59:46.087846,1513201687476981762,2022-04-10 17:06:10+00:00,1,0,9,0,,,,EndZonerBoner,260,Victoria Homeless,Victoria
9,"@george_pattons @gopisdirty @PeterBartholo14 @DaniTrump2020 @Randomwatcher51 @Bad_Boy_Jesus @Mountain_Buddy @jerbear714 @Vickie627 @LadyOfTheOcean1 @fukit32 @Bigteethyouhave @PridgeWessea @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 Taxes
Criminals released 
Crime wave
Hunter
Covid deaths skyrocket
Homeless population growing
The red tsunami",2022-04-12 15:59:46.087846,1513164066654765062,2022-04-10 14:36:41+00:00,2,0,2,1,,,,victoriacitro,3726,Victoria Homeless,Victoria
