,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
0,"Your company is waging a war on tenants in affordable housing in Koreatown, East Hollywood, Highland Park, Pico Union, Westlake, East LA, Boyle Heights, among many other neighborhoods in our city.",2022-04-15 14:31:11.479631,1512904897808662530,2022-04-09 21:26:50+00:00,1,0,0,0,,,,,thatpowellgirl,2363,Hollywood Park Housing,Hollywood Park
1,"RCMP seize weapons, cash and drugs in Sooke Road drug bust. Read more here: https://t.co/Dt1z8m18Lg",2022-04-15 14:31:11.760880,1514351849062682624,2022-04-13 21:16:30+00:00,0,0,2,0,,,,,SookeRCMP,1449,Sooke Drugs,Sooke
2,@jjhorgan Hey John … me again… don’t wanna take away from this important subject but just wondering if you had an opportunity to think about that bridge. I agree with what you saying about a safe drugs… Sooke is a bit crazy eh.,2022-04-15 14:31:11.760880,1514108299678867462,2022-04-13 05:08:44+00:00,0,0,0,0,,,,,johngdelvecchio,36,Sooke Drugs,Sooke
3,"So there you go, housing crisis deepens in Sooke. At least until Eby reforms the nimbyism with a housing rights bill this fall. I guess we’ll see what he can do in the face of a new exclusionary municipality.",2022-04-15 14:31:12.479956,1513730097810792457,2022-04-12 04:05:53+00:00,0,0,1,0,,,,,KevinSMcArthur,1481,Sooke Housing,Sooke
4,Sooke council is heading towards first reading of its OCP tonight.. its a transformative ultra nimby document that will almost certainly drive housing prices over 2 million per inside its timescale. And its being done with almost zero public participation because well pandemic.,2022-04-15 14:31:12.479956,1513722704758644740,2022-04-12 03:36:31+00:00,1,0,0,0,,,,,nicenewshq,21967,Sooke Housing,Sooke
5,"Sookes ultra-nimby OCP goes to council tonight for first reading. If enacted, and the province allows banning development in this way, it will drive Sooke housing prices to absolutely insane new highs as new affordable residential construction will simply be unachievable.",2022-04-15 14:31:12.479956,1513603941212176389,2022-04-11 19:44:35+00:00,1,0,1,1,,,,,h_valiquette,62,Sooke Housing,Sooke
6,"@vincenzo25 @THEREALGENEGURU @vicwestfc @CityOfVictoria @HarbourCats @Adam_Stirling So unbelievably sad indeed with the amount of history in our sports grounds and fields are being removed for skateparks, dog parks and housing. This city council has been disastrous for sports in Victoria. No surprise everything has come out to Langford.",2022-04-15 14:31:14.227344,1514988312133775362,2022-04-15 15:25:35+00:00,0,0,1,0,,,,,VictoriaGooner,1562,Langford Housing,Langford
7,@LitmanVTPI Langford residents are in a particular bind  _what to say - being at the other end of the spectrum - directly affected by NIMBYism of other muni's here. +180% of our local housing needs being built here - much of it unsustainabe in many ways. Pls write about it! Thanks.,2022-04-15 14:31:14.227344,1514641343657652228,2022-04-14 16:26:51+00:00,1,0,0,0,,,,,langfordvoters,158,Langford Housing,Langford
8,"@VicHomes4Sale @jpt16 Then you have Langford councillor Lillian Szpak, whom is really just a conduit for her activist daughters ""Langford Voters for Change"" which is trying to prevent housing from being built on the Westshore.",2022-04-15 14:31:14.227344,1513965198163410944,2022-04-12 19:40:06+00:00,0,0,1,0,,,,,sinclair_geoff,47,Langford Housing,Langford
9,@langfordvoters Ok so what are you actually advocating for to get lots of badly needed housing built in Langford? What policy changes?,2022-04-15 14:31:14.227344,1513569286186405892,2022-04-11 17:26:53+00:00,1,0,0,0,,,,,robrezee,132,Langford Housing,Langford
10,@renomate @TalktoARYZE @RyanJabs @VicPlacemaking @yyj_housing @RStraatsma adding #Langford #Colwood to the mix. We all need to work towards this🙏🏻,2022-04-15 14:31:14.227344,1513227554273914880,2022-04-10 18:48:58+00:00,0,0,0,0,,,,,CindyPAndrew1,892,Langford Housing,Langford
11,"What's with the angry looking guy in London Drugs in Colwood wearing a Let's Go Brandon hat? Like, as a Canadian, you took the time to go online and order that hat with your hard earned money? That's really weird.",2022-04-15 14:31:14.542205,1514686829047398412,2022-04-14 19:27:36+00:00,2,0,3,0,,,,,JanetVanIsle,174,Colwood Drugs,Colwood
12,While I live in @cityofcolwood i hope @crd_bc councils realize they need a coordinated rapid affordable housing strategy. @MayorRobMartin please have a read below: #colwood https://t.co/nEnM7hVW6Y,2022-04-15 14:31:15.248675,1514993350645977099,2022-04-15 15:45:36+00:00,0,0,2,0,,,,,TomLangeYYJ,400,Colwood Housing,Colwood
13,@renomate @TalktoARYZE @RyanJabs @VicPlacemaking @yyj_housing @RStraatsma adding #Langford #Colwood to the mix. We all need to work towards this🙏🏻,2022-04-15 14:31:15.248675,1513227554273914880,2022-04-10 18:48:58+00:00,0,0,0,0,,,,,CindyPAndrew1,892,Colwood Housing,Colwood
14,"well Holy Sh_t!
here it is folks,  $1.9M in Colwood. 
One street over from me. 
The previous home was a tear-down, new home built on the lot, maybe 2-3 years old?
More multi-unit housing please.😩😳

@TalktoARYZE @JeremyLoveday @HomesForLiving_ 
#MissingMiddle https://t.co/LXRg3dU4e6",2022-04-15 14:31:15.248675,1512545814605807620,2022-04-08 21:39:58+00:00,5,1,14,0,,,,,renomate,467,Colwood Housing,Colwood
15,@jec79 I’m convinced hell is just white champagne socialist Tesla drivers from Uplands/Victoria finding ways to not increase housing supply.,2022-04-15 14:31:16.338143,1513927831574568961,2022-04-12 17:11:37+00:00,1,0,2,0,,,,,daleflood,687,Uplands Housing,Uplands
