text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
@ShellyUrquhart I joined twitter when Lisa Helps and her clown posse allowed camping in Beacon Hill Park. I knew it was going to be a disaster,49:01.9,1.51878E+18,2022-04-26 02:31:46+00:00,1,0,3,0,,,,,Bruce55368227,214,beacon hill park (the victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,beacon hill park
"@2FloridaMermaid @FleischmanSteve @ShantMM San Fran has Medicare 4 All and very affordable housing? That's news to me. Also, is a place like Mississippi a shining beacon on the hill? It's literally the poorest state in the country. Since 1964, Mississippi has gone blue less times than California has gone red.",49:03.2,1.52109E+18,2022-05-02 11:35:37+00:00,0,0,1,0,,,,,Tresse007,660,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
@jpt16 @Adam_Stirling It used to be one of the stops on a Sunday drive then to the Beacon Hill   Hill for ice cream. A day like today it should be full. Nice to know camping is allowed. I should bring down the tent and have a BBQ.,49:03.2,1.52089E+18,2022-05-01 22:03:47+00:00,1,0,4,0,,,,,EllieMaeWest666,364,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"Itâ€™s critically important that Salem continues to have experienced leadership on Beacon Hill that can build the coalitions necessary to advance key issues such as a clean energy future and jobs, affordable housing, economic mobility,  and equitable educational opportunity.",49:03.2,1.52048E+18,2022-04-30 19:13:44+00:00,1,0,3,0,,,,,MannyCruz_MA,778,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"@MinusPeach God damn literally anything. A corner coffee shop to bike to would be great. Iâ€™ve got single family housing for days, and *must* drive if I want a coffee. South beacon hill.",49:03.2,1.5202E+18,2022-04-30 00:23:46+00:00,0,0,2,0,,,,,tbw875,155,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
@michaeltdunn @BassanoMatt @QueenMab87 I mean Iâ€™m sure $106k goes less far on Beacon Hill or Marthaâ€™s Vineyard but if Iâ€™m choosing to live somewhere super expensive &amp; full of rich ppl cd I really claim relative poverty??,49:03.2,1.52012E+18,2022-04-29 19:26:57+00:00,2,0,0,0,,,,,mikesully97,1050,beacon hill (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,beacon hill
"@2FloridaMermaid @FleischmanSteve @ShantMM San Fran has Medicare 4 All and very affordable housing? That's news to me. Also, is a place like Mississippi a shining beacon on the hill? It's literally the poorest state in the country. Since 1964, Mississippi has gone blue less times than California has gone red.",49:04.4,1.52109E+18,2022-05-02 11:35:37+00:00,0,0,1,0,,,,,Tresse007,660,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"Itâ€™s critically important that Salem continues to have experienced leadership on Beacon Hill that can build the coalitions necessary to advance key issues such as a clean energy future and jobs, affordable housing, economic mobility,  and equitable educational opportunity.",49:04.4,1.52048E+18,2022-04-30 19:13:44+00:00,1,0,3,0,,,,,MannyCruz_MA,778,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
"And having destroyed education, they know the children of illegals and poor won't know either.

They are building a complete culture divide to destroy the Shining Beacon on a Hill.

The Shining Beacon is all that stands in their way.",49:04.4,1.52042E+18,2022-04-30 15:15:02+00:00,0,0,1,0,,,,,schwartzdom1,221,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
@LocalPoliticsis Only job in the state with no Cori check. She will be back up &amp; â€œworking â€œ on Beacon Hill.  A poor manâ€™s Marion Barry,49:04.4,1.51932E+18,2022-04-27 14:10:17+00:00,0,0,2,0,,,,,bckhndbabysauce,62,beacon hill (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,beacon hill
