,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant,File #,From,Notes
1150,"First time seeing snow in about 15+ years! 20 minute drive up the mountain from campsite (Victoria, Australia) [by m-iaaw]
  
 #hiking #camping https://t.co/lnFQCPVMxJ",34:31.7,1.54E+18,2022-06-19 15:17:50+00:00,0,0,0,0,,,,,Shambazuva,12736,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",Victoria,Neutral,0.584249377,Yes,No,0,Josh,
1277,"So, taxpayers are flying you &amp; your entourage to Victoria next month so you can do some ""real good"" cheesy insincere photo ops like this one? Have fun on our dime Doug, then come back &amp; build a useless hwy, so your pals can get some juicy contracts, as healthcare gets even worse",34:33.3,1.54E+18,2022-06-15 16:44:20+00:00,0,0,4,1,,,,,TraceyTrousdal5,1,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Negative,0.799546719,Yes,No,0,Josh,
123,If anybody on the planet deserves to get paid a full wage itâ€™s the poor people who clean up the Gorge https://t.co/zhrsSyUJsY,32:27.0,1.54E+18,2022-06-18 17:52:40+00:00,0,0,4,0,,,,,SpencerB_abz,178,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsÃ¡neÄ‡,Negative,0.807166576,Yes,No,0,Josh,
289,@tomhunt1988 So this â€˜eliteâ€™ is not allowed to have a view on this? Churchill had personal wealth on a par with the Royal Family; did this disbar him from promoting policies that helped the poor?,32:40.3,1.54E+18,2022-06-15 13:36:35+00:00,0,0,0,0,,,,,ReverendMakeluv,212,(view royal OR harris green OR hillside-quadra OR vic west OR stadacona park OR lochside OR tsartlip) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,view royal OR harris green OR hillside-quadra OR vic west OR stadacona park OR lochside OR tsartlip,Neutral,0.560878098,No,No,0,Josh,
597,"Can't wait for tennis camp tomorrow! Reminder: We have moved the camp's location indoors at Oak Lawn Park District / Racquet and Fitness at 10444 Central Ave, Oak Lawn, IL, 60453. This will help us avoid the severe heat we experienced last week.

See you on the courts! https://t.co/L8ZhpAhSoH",33:41.9,1.54E+18,2022-06-19 12:57:06+00:00,0,0,8,1,,,,,BrotherTennis,217,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Positive,0.933473885,Yes,No,0,Josh,
1334,"""While the rapidness of the cooldown may have alarmed some mortgage holders &amp; would-be buyers, now is the time for cool head...some form of correction in the market had been inevitable...'people need to recognize that the market is cyclical.'"" https://t.co/ssyfZZgobk #yyj #bcpoli",35:15.7,1.54E+18,2022-06-17 17:11:09+00:00,0,0,0,0,,,,,GregorCraigie,13405,YYJ (avi OR cool aid society OR homelessness services association of bc OR red cedar cafÃ© OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,YYJ,Neutral,0.706034064,Yes,Yes,0,Josh,
976,"Excited to meet @kennyhotz &amp; @Spenny on #vancouverisland! @kylemudge1

Support their Tour: 
October 12 Victoria BC 
https://t.co/zUNNaLrJpu
October 13 Nanaimo BC 
https://t.co/ZJEEiOeN2d...

Given Spenny's relationship history w/ homeless men, it's no wonder you are back #Nanaimo",34:26.8,1.54E+18,2022-06-16 17:47:04+00:00,0,0,1,0,,,,,VIMentalHealth,452,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Positive,0.949091494,Yes,No,0,Josh,
1035,"ready to bring glam to the show âœ¨ðŸ’…ðŸ¼

Victoria Secret Fashion Show 2022 is back y'all ðŸ§šðŸ¼â€â™‚ï¸ https://t.co/bgJ8CWKbEe",34:28.6,1.54E+18,2022-06-19 14:12:54+00:00,0,0,0,0,,,,,victoriadrealty,25,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.938735902,Yes,No,0,Josh,
573,"@GeePawHill @johncutlefish I stood in line all day for front row general admission at the S&amp;G Central Park reunion tour at Grant Field GA Tech, I was literally 20 feet from the stage, and I watched PS play it. Went home and I had it in 5 minutes. That was one of the top 3 concerts of my life.",33:39.1,1.54E+18,2022-06-17 04:30:15+00:00,1,0,1,0,,,,,chris_mcmahon,2676,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Positive,0.929270446,Yes,No,0,Josh,
1002,"Today I woke up and felt in such a slump but I managed to turn it around and I got up n got ready, went on a walk, ate left overs from the roast I cooked last night, tidied my room, made a Victoria sponge cake and finally managed to do some degree of latte art https://t.co/WAmN99LNPH",34:28.6,1.54E+18,2022-06-20 16:30:07+00:00,0,0,0,0,,,,,DIIVINTOIT,2880,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.494048864,Yes,No,0,Josh,
