,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant
935,"A suspected thief is fighting for life after an alleged break-in at a fish and chip shop in Geelong in Victoria's west. #9News
https://t.co/Qxxj2k4mS8",2022-06-20 13:34:26.836318,1538929679976914946,2022-06-20 17:00:02+00:00,0,0,0,0,,,,,9NewsAdel,95929,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Negative,0.66315758228302,,
186,"⁦⁦.⁦⁦@UniteThePoor⁩
activist Jay Waxse holds a picture of Miguel Gonzales, 59, who died homeless in the DC neighborhood where he grew up, not far from the home his family lost to a predatory mortgage. There are 5 empty homes for every homeless person in America. https://t.co/lTAoPm7woj",2022-06-20 13:32:31.098861,1538004814277185538,2022-06-18 03:44:57+00:00,0,0,6,6,,,,,stucknation,4489,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Neutral,0.6987237334251404,,
759,"Hello, to the Political Governance in City of Victoria, recent article on https://t.co/qQas0fWsl6 , the latest Cruise Ship built ,has its 1st Voyage ,going to the Scrap Yard , a losing and unnecessary industry, that does nothing but harm the worlds resources https://t.co/xdgJYWAoV9",2022-06-20 13:34:22.169920,1538693459707502593,2022-06-20 01:21:22+00:00,0,0,0,0,,,,,Albert_PrinceC,3490,Victoria (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,Victoria,Negative,0.7672135829925537,,
1400,"Supernatural BC ....have a look!

 If extreme poverty, Landlord unchecked greed.Corrupt politics, a record high death rate amongst the low and middle class, a un acknowledged housing super crisis. And a evil Nimby troll outbreak,ever get out of the way.",2022-06-20 13:37:26.772468,1537644147049263105,2022-06-17 03:51:47+00:00,0,0,1,0,,,,,BeaconHillFolks,1110,(from:beaconhillfolks OR from:housesooke OR from:outreachsolid OR from:thebackpackpro1 OR from:tagvictoriabc) (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,individual,Negative,0.8102005124092102,,
66,"Make your next career move with Confidential in Sidney, MT Apply here today: https://t.co/8jdWClcO7U #NurseLife #RN",2022-06-20 13:31:52.766361,1538251757876224000,2022-06-18 20:06:13+00:00,0,0,0,0,"Sidney, MT",f1047810cb674525,"[-104.214609, 47.68539, -104.132855, 47.729536]","[-104.1563253, 47.7166836]",cg_cg_cg_,42,"(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.6583498120307922,,
643,@Aj_Almightiful @VictoriaAfrica9 @nhlanhla_lux Idiot..victoria is suspended for ever..lux has moved on..lead from the Frontline get off twitter,2022-06-20 13:34:18.921391,1536955349407784960,2022-06-15 06:14:45+00:00,1,0,0,0,,,,,ReginaFolkFest,8211,Victoria (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,Victoria,Negative,0.7948887348175049,,
1401,"The City holds the Trust for Migan.They asked the court. Should camping be allowed? They are the trustees.They gave us permission.On the basics of logic, of course it should. We had the owners permission! Regardless of any Goverment acts. Law and common sense aren't a given.",2022-06-20 13:37:29.087610,1537618232521043968,2022-06-17 02:08:48+00:00,0,0,2,0,,,,,BeaconHillFolks,1110,"(from:beaconhillfolks OR from:housesooke OR from:outreachsolid OR from:thebackpackpro1 OR from:tagvictoriabc) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",individual,Neutral,0.8605961203575134,,
158,"Crime on the Northside Town Hall

Join me, CM @JohnCourageD9, @BexarCountyDA Gonzales, and SAPD @Chief_McManus on June 23 to learn more about the response to the changing nature of crime in our community.

Questions? Call 210-207-0943 or email council.district8@sanantonio.gov. https://t.co/HzRz7dJRzh",2022-06-20 13:32:28.457339,1537215013911265281,2022-06-15 23:26:34+00:00,1,1,6,4,"Texas, USA",e0060cda70f5f341,"[-106.645646, 25.837092, -93.508131, 36.500695]",,LowEndLem,79,(sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,sooke OR gonzales OR foul bay OR the gorge OR royal athletic park OR selkirk trestle OR wsáneć,Neutral,0.9140444993972778,,
959,My name is Piers and I’m addicted to Bowls Victoria footage on YouTube.,2022-06-20 13:34:26.836318,1538107771979288577,2022-06-18 10:34:04+00:00,0,0,0,0,,,,,PiersCooper,811,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Positive,0.6476245522499084,,
7,@atrupar Poor Sidney disbarred in Texas today.,2022-06-20 13:31:44.578449,1537631009675558913,2022-06-17 02:59:35+00:00,0,0,1,0,,,,,crazyfamilyomg,4179,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Negative,0.895507276058197,,
