,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood,sentiment,score,score_matches,relevant
997,"'Amat Victoria Curam' - Victory favours the prepared!

Get TRAINED, get ARMED and be READY 

https://t.co/Yh7YDws1CQ",2022-06-20 13:34:28.581835,1538957856904343554,2022-06-20 18:52:00+00:00,0,0,1,1,,,,,FirearmsZA,5707,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.8668356537818909,,
1467,"The federal budget locked in mass homelessness in Canada, so I suspect we will see more of this across the country. 
https://t.co/YK7lLBrBVo",2022-06-20 13:39:48.051072,1537810010356342784,2022-06-17 14:50:52+00:00,1,1,3,0,,,,,NicoleChaland,1207,(from:charlesbodi OR from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic) (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,individual,Negative,0.8167385458946228,,
679,@DevinDignam @CTVNewsVI That would literally cripple Victoria’s economy. I get wanting to be more environmentally friendly but I have family and friends that work in tourism industry and rely on cruise ships for a living. Getting rid of them would just cause even more poverty.,2022-06-20 13:34:20.580331,1537922346807283714,2022-06-17 22:17:15+00:00,1,0,0,0,,,,,TraversMcLeod,2407,Victoria (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,Victoria,Negative,0.8396499752998352,,
938,"A suspected thief is fighting for life after an alleged break-in at a fish and chip shop in Geelong in Victoria's west. #9News
https://t.co/xw6fipbuKv",2022-06-20 13:34:26.836318,1538929677276008448,2022-06-20 17:00:01+00:00,1,0,0,0,,,,,9NewsMelb,219896,Victoria (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,Victoria,Negative,0.655767023563385,,
20,Now Playing: Poor Sidney by The Decibels Listen at https://t.co/SPIWRLWkg0 https://t.co/VbXzQrRgCD,2022-06-20 13:31:44.578449,1536639661531185152,2022-06-14 09:20:19+00:00,0,0,0,0,,,,,DShark072299,276,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew,Neutral,0.8618711829185486,,
1236,"@LeGrandeWee @Martin_Sanna 
Covid Rules Victoria
Remember when you couldn't eat inside but you eat inside outside in a tent .
Because of the science https://t.co/oNMyULdyBH",2022-06-20 13:34:33.255603,1538367990353121281,2022-06-19 03:48:05+00:00,0,0,0,0,,,,,cakeseeks,546,Victoria (burnside gorge neighbourhood association OR greater victoria acting together OR ops OR solid outreach OR the john howard society of victoria OR vibrant victoria OR victoria tenant action group OR peer housing support program OR harm reduction OR front line worker OR complex care OR camp OR tent OR evict OR overdosed) lang:en -is:retweet,Victoria,Neutral,0.8141292333602905,,
513,"@kylepond @MuvcriticScott @MayoIsSpicyy What he said about the central park five, Muslims, Mexicans, hanging with Mob in the 80's, him along with is father violating the 1968 fair housing act, walking in on models in various states of undress",2022-06-20 13:33:33.308604,1537555350584434689,2022-06-16 21:58:56+00:00,0,0,0,0,,,,,jake_zuckerman,10028,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat,Neutral,0.5264407992362976,,
818,"@BfmDevOuR @dodgierogie68 @PRGuy17 Rebel news shows what the mainstream media won't show you - such as police officers slamming people, pregnant women being arrested at their own home, and Victoria police misusing their power. Avi is exposing the fascists like #dictatordan
#dontcryprguy",2022-06-20 13:34:23.740307,1538779975548952576,2022-06-20 07:05:09+00:00,3,0,4,0,,,,,GumtreeKoalas,904,Victoria (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,Victoria,Negative,0.6313591003417969,,
874,Victoria police report ‘significant decline’ in calls for youth-related violence – Saanich News https://t.co/ozaG5d17Pd,2022-06-20 13:34:25.320996,1538928463570141188,2022-06-20 16:55:12+00:00,0,0,0,0,,,,,JaunNews,498,"Victoria (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",Victoria,Neutral,0.5880963802337646,,
1015,"Getting your house in order – are you mortgage ready? - Our Office Manager Victoria Pitts is talking about the importance of getting ‘mortgage ready’ 👉 https://t.co/y8dVRqg7IY

#mortgages #mortgageadvice #financialadvice #financialplan https://t.co/QWxyJud2ZU",2022-06-20 13:34:28.582067,1538790012065546240,2022-06-20 07:45:02+00:00,0,0,0,0,,,,,tudorfcltd,4687,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,Victoria,Positive,0.6316778063774109,,
